ء	'	ARABIC LETTER HAMZA	d8 a1
آ	|	ARABIC LETTER ALEF WITH MADDA ABOVE	d8 a2
أ	>	ARABIC LETTER ALEF WITH HAMZA ABOVE	d8 a3
ؤ	&	ARABIC LETTER WAW WITH HAMZA ABOVE	d8 a4
إ	<	ARABIC LETTER ALEF WITH HAMZA BELOW	d8 a5
ئ	}	ARABIC LETTER YEH WITH HAMZA ABOVE	d8 a6
ا	A	ARABIC LETTER ALEF	d8 a7
ب	b	ARABIC LETTER BEH	d8 a8
ة	p	ARABIC LETTER TEH MARBUTA	d8 a9
ت	t	ARABIC LETTER TEH	d8 aa
ث	v	ARABIC LETTER THEH	d8 ab
ج	j	ARABIC LETTER JEEM	d8 ac
ح	H	ARABIC LETTER HAH	d8 ad
خ	x	ARABIC LETTER KHAH	d8 ae
د	d	ARABIC LETTER DAL	d8 af
ذ	*	ARABIC LETTER THAL	d8 b0
ر	r	ARABIC LETTER REH	d8 b1
ز	z	ARABIC LETTER ZAIN	d8 b2
س	s	ARABIC LETTER SEEN	d8 b3
ش	$	ARABIC LETTER SHEEN	d8 b4
ص	S	ARABIC LETTER SAD	d8 b5
ض	D	ARABIC LETTER DAD	d8 b6
ط	T	ARABIC LETTER TAH	d8 b7
ظ	Z	ARABIC LETTER ZAH	d8 b8
ع	E	ARABIC LETTER AIN	d8 b9
غ	g	ARABIC LETTER GHAIN	d8 ba
ـ	_	ARABIC TATWEEL	d9 80
ف	f	ARABIC LETTER FEH	d9 81
ق	q	ARABIC LETTER QAF	d9 82
ك	k	ARABIC LETTER KAF	d9 83
ل	l	ARABIC LETTER LAM	d9 84
م	m	ARABIC LETTER MEEM	d9 85
ن	n	ARABIC LETTER NOON	d9 86
ه	h	ARABIC LETTER HEH	d9 87
و	w	ARABIC LETTER WAW	d9 88
ى	Y	ARABIC LETTER ALEF MAKSURA	d9 89
ي	y	ARABIC LETTER YEH	d9 8a
ً	F	ARABIC FATHATAN	d9 8b
ٌ	N	ARABIC DAMMATAN	d9 8c
ٍ	K	ARABIC KASRATAN	d9 8d
َ	a	ARABIC FATHA	d9 8e
ُ	u	ARABIC DAMMA	d9 8f
ِ	i	ARABIC KASRA	d9 90
ّ	~	ARABIC SHADDA	d9 91
ْ	o	ARABIC SUKUN	d9 92
ٰ	`	ARABIC LETTER SUPERSCRIPT ALEF	d9 b0
ٱ	{	ARABIC LETTER ALEF WASLA	d9 b1
پ	P	ARABIC LETTER PEH	d9 be
چ	J	ARABIC LETTER TCHEH	da 86
ڤ	V	ARABIC LETTER VEH	da a4
گ	G	ARABIC LETTER GAF	da af
